,1st Flr SF,2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Roof Matl,Roof Style,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,set,sf,target
10,483,504,0,2,Twnhs,2,1,0.0,0.0,2,96.0,387.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,264.0,1.0,2,1,2,Detchd,1971.0,987,1,GasA,2,2Story,1,2,Lvl,1,1680,Inside,21.0,2,0,160,RM,232.0,BrkFace,7,BrDale,0,2,2,2,CompShg,Gable,COD,0,Pave,2,483.0,4,0,1971,1971,2008,train,1470.0,85400.0
11,1208,0,0,2,1Fam,2,3,0.0,0.0,3,815.0,393.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,632.0,2.0,2,1,2,Attchd,2005.0,1208,0,GasA,3,1Story,1,3,Lvl,1,7488,Inside,64.0,1,0,20,RL,0.0,None,2,CollgCr,58,2,3,2,CompShg,Gable,WD ,0,Pave,2,1208.0,4,105,2005,2005,2006,train,2416.0,183600.0
12,1288,728,0,4,1Fam,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,Y,Feedr,Norm,SBrkr,0,2,3,HdBoard,HdBoard,2,1,PConc,1,4,576.0,2.0,2,1,2,Attchd,1900.0,2016,0,GasA,3,2Story,1,2,Bnk,1,26400,FR2,120.0,2,0,70,RL,0.0,None,6,SawyerW,0,3,2,1,CompShg,Gable,WD ,0,Pave,3,0.0,4,0,1880,2007,2009,train,2016.0,131000.0
13,962,645,0,3,Twnhs,2,1,1.0,0.0,3,147.0,813.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,MetalSd,MetalSd,0,0,PConc,2,5,480.0,2.0,2,1,2,Detchd,2000.0,1607,1,GasA,3,2Story,1,3,Lvl,1,2645,Inside,24.0,2,0,160,FV,456.0,BrkFace,12,Somerst,0,2,3,2,CompShg,Gable,ConLD,0,Pave,3,960.0,4,169,1999,2000,2008,train,2567.0,200000.0
14,1361,0,0,3,1Fam,2,3,0.0,0.0,3,1327.0,24.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,610.0,2.0,2,1,2,Attchd,2007.0,1361,0,GasA,3,1Story,1,3,Lvl,1,9627,Inside,74.0,2,0,20,RL,0.0,None,6,CollgCr,50,2,3,2,CompShg,Gable,WD ,0,Pave,2,1351.0,4,0,2007,2007,2008,train,2712.0,193000.0
15,1430,0,0,3,1Fam,2,3,0.0,0.0,3,1430.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,624.0,2.0,2,1,2,Attchd,2004.0,1430,0,GasA,3,1Story,1,3,Lvl,1,10114,Inside,93.0,2,0,20,RL,0.0,None,3,Mitchel,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,1430.0,4,0,2004,2005,2010,train,2860.0,173500.0
16,624,720,0,4,1Fam,2,1,0.0,0.0,2,624.0,0.0,0.0,1,1,N,Norm,Norm,SBrkr,96,2,2,AsbShng,AsbShng,0,0,BrkTil,1,5,513.0,3.0,1,1,1,Detchd,1916.0,1344,0,GasA,1,2Story,1,2,Lvl,1,4571,Inside,34.0,2,0,70,RM,0.0,None,5,OldTown,0,2,2,2,CompShg,Gable,COD,0,Pave,3,624.0,4,0,1916,1950,2008,train,1968.0,98000.0
17,1121,0,0,3,1Fam,2,1,1.0,0.0,2,470.0,651.0,0.0,2,1,Y,Feedr,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,1,5,480.0,2.0,2,1,2,Detchd,1963.0,1121,0,GasA,2,1Story,1,2,Lvl,1,8816,Corner,80.0,2,0,20,RL,0.0,None,6,Sawyer,80,2,2,2,CompShg,Gable,WD ,0,Pave,2,1121.0,4,0,1963,1963,2009,train,2242.0,139000.0
18,1285,0,0,3,1Fam,2,1,0.0,0.0,2,660.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Plywood,2,1,CBlock,1,5,528.0,2.0,2,1,2,Attchd,1977.0,1285,1,GasA,3,1Story,1,2,Lvl,1,8197,Inside,71.0,2,0,20,RL,148.0,BrkFace,4,Sawyer,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,660.0,4,138,1977,1977,2007,train,1945.0,143500.0
19,764,783,0,3,1Fam,2,2,0.0,0.0,3,732.0,24.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,614.0,2.0,2,1,2,Attchd,2009.0,1547,1,GasA,3,2Story,1,3,Lvl,1,8640,Inside,72.0,2,0,60,FV,0.0,None,6,Somerst,45,2,3,2,CompShg,Gable,Con,0,Pave,3,756.0,4,169,2009,2009,2010,train,2303.0,215200.0
20,894,0,0,3,1Fam,2,1,0.0,0.0,3,402.0,492.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,1,1,CBlock,1,5,450.0,2.0,2,2,2,Attchd,1968.0,894,0,GasA,3,1Story,1,2,Lvl,1,8724,Inside,109.0,2,0,20,RL,0.0,None,5,Sawyer,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,894.0,4,0,1968,1968,2007,train,1788.0,129000.0
21,1659,0,0,2,TwnhsE,2,1,1.0,0.0,3,343.0,1158.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,CemntBd,CmentBd,3,1,PConc,2,5,499.0,2.0,2,2,2,Attchd,2000.0,1659,0,GasA,3,1Story,1,3,Lvl,1,5664,Inside,40.0,1,0,120,RL,0.0,None,10,StoneBr,59,2,3,2,CompShg,Gable,WD ,0,Pave,2,1501.0,4,212,2000,2000,2009,train,3160.0,278000.0
22,1209,1044,0,3,1Fam,2,3,0.0,0.0,3,1209.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,CemntBd,CmentBd,3,1,PConc,2,5,575.0,2.0,2,2,2,Attchd,2005.0,2253,1,GasA,3,2Story,1,3,Lvl,1,12867,Corner,103.0,1,0,60,RL,92.69946714031971,none,7,NridgHt,142,2,3,2,CompShg,Gable,New,0,Pave,3,1209.0,4,243,2005,2006,2006,train,3462.0,344133.0
23,1187,0,0,3,1Fam,2,1,1.0,0.0,3,233.0,935.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,3,2,HdBoard,HdBoard,0,0,PConc,2,5,420.0,2.0,2,2,2,Attchd,1992.0,1187,0,GasA,3,1Story,1,2,Lvl,1,7980,Inside,68.36301950805768,1,0,20,RL,0.0,None,3,Gilbert,21,3,2,2,CompShg,Gable,WD ,0,Pave,2,1168.0,4,483,1992,2007,2010,train,2355.0,185000.0
24,1056,0,0,3,2fmCon,2,2,1.0,0.0,2,0.0,1056.0,0.0,2,1,N,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,0,0,CBlock,1,5,572.0,2.0,2,2,2,Attchd,1955.0,1056,0,GasA,2,1Story,1,2,Bnk,1,34650,Inside,100.0,2,0,190,RL,0.0,None,1,Gilbert,0,2,2,2,CompShg,Hip,WD ,0,Pave,2,1056.0,4,264,1955,1955,2006,train,2112.0,145000.0
25,1453,0,0,3,1Fam,2,1,1.0,0.0,2,141.0,1312.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,MetalSd,MetalSd,2,1,CBlock,2,5,530.0,2.0,2,1,2,Attchd,1961.0,1453,0,GasA,3,1Story,1,2,Lvl,1,10573,Corner,92.0,1,0,20,RL,3.0,BrkFace,4,NAmes,49,2,2,2,CompShg,Hip,WD ,288,Pave,2,1453.0,4,0,1961,1961,2009,train,2906.0,187500.0
26,894,0,0,3,1Fam,2,1,1.0,0.0,2,224.0,553.0,117.0,3,2,Y,RRAe,Norm,SBrkr,0,3,2,MetalSd,MetalSd,3,1,CBlock,1,5,336.0,1.0,2,1,2,Detchd,1973.0,894,0,GasA,3,1Story,1,2,Lvl,1,8450,Inside,65.0,2,0,20,RL,0.0,None,4,Sawyer,144,3,2,2,CompShg,Gable,WD ,0,Pave,2,894.0,4,416,1965,2009,2010,train,1788.0,138500.0
27,1265,673,0,4,1Fam,2,1,0.0,0.0,2,336.0,606.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,WdShing,Wd Shng,3,1,CBlock,2,3,240.0,1.0,2,1,2,Detchd,1937.0,1938,0,GasA,3,1.5Fin,1,3,HLS,2,11700,Inside,68.36301950805768,1,0,50,RL,0.0,None,7,Crawfor,40,2,2,2,CompShg,Gable,WD ,0,Pave,3,942.0,4,0,1937,1995,2008,train,2880.0,198000.0
28,1034,957,0,4,2fmCon,2,1,0.0,0.0,2,957.0,0.0,0.0,1,1,N,Feedr,Norm,SBrkr,133,3,2,VinylSd,VinylSd,0,0,CBlock,2,5,0.0,0.0,0,0,0,none,,1991,0,GasA,1,2Story,2,2,Lvl,1,8250,Inside,75.0,2,0,190,C (all),0.0,None,6,IDOTRR,0,2,2,0,CompShg,Gable,WD ,0,Pave,3,957.0,4,0,1895,2006,2007,train,2948.0,119600.0
29,672,252,0,3,1Fam,2,2,0.0,0.0,2,672.0,0.0,0.0,1,1,Y,Artery,Norm,SBrkr,0,3,2,MetalSd,MetalSd,1,1,CBlock,1,5,576.0,2.0,2,1,2,Detchd,2003.0,924,0,GasA,3,1.5Fin,1,2,Lvl,1,8064,Corner,60.0,2,0,50,RL,0.0,None,7,NAmes,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,672.0,4,0,1949,2006,2007,train,1596.0,122900.0
31,792,725,0,3,1Fam,2,1,0.0,0.0,3,792.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,BrkFace,Stucco,3,2,PConc,1,5,400.0,2.0,2,1,2,Detchd,1931.0,1517,0,GasA,1,2Story,1,3,HLS,2,11435,Corner,68.36301950805768,1,0,70,RL,0.0,None,6,Crawfor,0,3,3,2,CompShg,Gable,WD ,0,Pave,3,792.0,4,0,1929,1950,2006,train,2309.0,230000.0
32,1494,0,0,2,TwnhsE,3,3,1.0,0.0,3,0.0,437.0,1057.0,1,3,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,BrkFace,3,1,PConc,1,5,481.0,2.0,2,2,2,Attchd,1995.0,1494,1,GasA,3,1Story,1,3,Lvl,1,9549,CulDSac,30.0,1,0,120,RL,0.0,None,4,Veenker,30,2,3,2,CompShg,Hip,WD ,216,Pave,2,1494.0,4,0,1995,1996,2006,train,2988.0,270000.0
33,948,0,0,2,1Fam,2,1,0.0,0.0,2,507.0,441.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,0,0,CBlock,1,5,410.0,2.0,2,1,2,Detchd,1952.0,948,0,GasA,2,1Story,1,2,Lvl,1,10950,Inside,60.0,2,0,20,RL,0.0,None,4,NAmes,48,2,2,0,CompShg,Hip,WD ,0,Pave,2,948.0,4,0,1952,1952,2007,train,1896.0,125000.0
34,1718,0,0,3,1Fam,2,4,1.0,0.0,3,417.0,1288.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,3,1,PConc,2,5,826.0,3.0,2,1,2,Attchd,2007.0,1718,0,GasA,3,1Story,1,3,Lvl,1,10637,Inside,79.0,2,0,20,RL,336.0,Stone,9,CollgCr,44,2,3,2,CompShg,Hip,WD ,0,Pave,3,1705.0,4,208,2007,2008,2009,train,3423.0,297000.0
35,1142,0,0,2,1Fam,2,4,0.0,0.0,3,160.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,64,2,2,Wd Sdng,Wd Sdng,3,1,CBlock,1,5,384.0,1.0,2,1,2,Basment,1958.0,1142,0,GasA,1,1Story,1,2,HLS,2,9000,Inside,80.0,1,0,20,RL,82.0,BrkFace,4,NAmes,28,2,2,2,Tar&Grv,Flat,WD ,0,Pave,2,160.0,4,0,1958,1958,2009,train,1302.0,113500.0
36,925,550,0,4,TwnhsE,2,1,0.0,0.0,2,36.0,548.0,173.0,3,2,Y,Norm,Norm,SBrkr,0,2,2,CemntBd,CmentBd,2,1,PConc,2,5,336.0,1.0,2,1,2,Attchd,1977.0,1475,0,GasA,3,2Story,1,2,Lvl,1,2665,Inside,41.0,2,0,160,RM,0.0,None,7,MeadowV,26,2,2,2,CompShg,Gable,WD ,0,Pave,2,757.0,4,104,1977,1977,2006,train,2232.0,127000.0
37,1844,0,0,3,1Fam,2,1,0.0,0.0,3,1139.0,705.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Plywood,2,1,CBlock,2,5,546.0,2.0,2,1,2,Attchd,1977.0,1844,0,GasA,3,1Story,1,2,Lvl,1,11751,Inside,105.0,1,0,20,RL,480.0,BrkFace,1,NWAmes,122,2,2,2,CompShg,Hip,COD,0,Pave,3,1844.0,4,0,1977,1977,2010,train,3688.0,190000.0
38,1242,0,0,3,1Fam,2,1,0.0,0.0,2,326.0,916.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,2,1,CBlock,1,5,528.0,2.0,2,1,2,Attchd,1973.0,1242,1,GasA,1,1Story,1,2,Lvl,1,9600,Inside,80.0,2,0,20,RL,320.0,BrkFace,9,NWAmes,0,2,3,2,CompShg,Hip,WD ,0,Pave,2,1242.0,4,0,1973,1973,2007,train,2484.0,175500.0
39,990,0,0,3,1Fam,3,1,1.0,0.0,3,570.0,420.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,3,2,VinylSd,VinylSd,0,0,PConc,1,5,384.0,1.0,2,1,2,Detchd,1995.0,990,0,GasA,3,1Story,1,2,Lvl,1,8428,Inside,60.0,3,0,20,RL,0.0,None,7,CollgCr,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,990.0,4,256,1994,1994,2007,train,1980.0,146000.0
40,1256,0,0,3,1Fam,2,1,1.0,0.0,2,136.0,830.0,290.0,2,1,Y,Norm,Norm,SBrkr,0,2,3,HdBoard,HdBoard,0,0,CBlock,1,5,276.0,1.0,2,2,2,Attchd,1965.0,1256,1,GasA,3,1Story,1,2,Lvl,1,9937,Inside,75.0,2,0,20,RL,0.0,None,6,Edwards,68,2,2,2,CompShg,Gable,WD ,0,Pave,2,1256.0,4,736,1965,1965,2008,train,2512.0,147500.0
42,1110,0,0,1,1Fam,2,3,1.0,0.0,3,0.0,1097.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,3,2,Plywood,Plywood,2,1,PConc,1,5,602.0,2.0,2,2,2,Attchd,1978.0,1110,0,GasA,3,SFoyer,1,3,Lvl,1,9101,Corner,68.36301950805768,1,0,85,RL,104.0,BrkFace,7,Mitchel,30,2,2,2,CompShg,Gable,WD ,0,Pave,2,1097.0,4,303,1978,1978,2009,train,2207.0,165500.0
43,1050,745,0,4,1Fam,2,1,0.0,0.0,2,1050.0,0.0,0.0,1,1,N,Norm,Norm,FuseF,0,2,2,MetalSd,MetalSd,0,0,BrkTil,2,5,352.0,1.0,2,1,1,Attchd,1954.0,1795,0,GasA,3,1.5Fin,1,2,Lvl,1,12150,Inside,81.0,2,0,50,RM,335.0,BrkFace,11,OldTown,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,1050.0,4,0,1954,1954,2008,train,2845.0,131500.0
44,1040,0,0,3,1Fam,2,1,1.0,0.0,2,134.0,906.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,384.0,1.0,2,1,2,Detchd,1965.0,1040,0,GasA,3,1Story,1,2,Lvl,1,11200,Inside,70.0,2,0,20,RL,0.0,None,2,Sawyer,0,2,2,2,CompShg,Hip,WD ,0,Pave,2,1040.0,4,0,1965,1965,2008,train,2080.0,129500.0
45,983,890,0,4,1Fam,1,1,0.0,0.0,2,398.0,210.0,0.0,1,1,Y,Norm,Norm,SBrkr,207,2,2,BrkFace,Stucco,3,2,PConc,1,5,786.0,2.0,2,2,1,Detchd,1935.0,1873,1,GasA,2,2Story,1,2,HLS,2,9670,Inside,100.0,1,0,70,RL,40.0,Stone,6,Crawfor,0,2,3,2,CompShg,Gable,WD ,0,Pave,3,608.0,4,0,1935,1950,2008,train,2481.0,257076.0
46,984,620,0,3,1Fam,2,1,0.0,0.0,2,156.0,408.0,420.0,1,2,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,0,0,CBlock,2,3,660.0,2.0,2,1,2,Detchd,1977.0,1604,0,GasA,3,1.5Fin,1,2,Lvl,1,10998,Inside,60.0,2,0,50,RL,0.0,None,7,Edwards,68,2,2,2,CompShg,Gable,WD ,0,Pave,2,984.0,4,0,1941,1960,2009,train,2588.0,117000.0
47,851,651,0,3,1Fam,2,1,0.0,0.0,3,776.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,112,1,2,Stucco,Wd Shng,3,1,BrkTil,1,5,270.0,1.0,2,1,2,Attchd,1931.0,1502,1,GasA,2,2Story,1,2,HLS,2,7200,Inside,60.0,2,0,70,RL,0.0,None,2,Crawfor,0,2,3,1,CompShg,Gable,WD ,0,Pave,2,776.0,4,0,1931,2000,2008,train,2278.0,149000.0
48,1063,0,0,3,1Fam,2,1,1.0,0.0,2,412.0,354.0,290.0,2,1,Y,Norm,Norm,SBrkr,164,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,280.0,1.0,2,1,2,Attchd,1954.0,1063,0,GasA,2,1Story,1,2,Lvl,1,9920,Inside,80.0,2,0,20,RL,110.0,Stone,2,NAmes,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,1056.0,4,0,1954,1954,2010,train,2119.0,128000.0
49,764,862,0,2,Twnhs,2,1,0.0,0.0,3,764.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,Wd Shng,0,0,PConc,2,5,474.0,2.0,2,1,2,BuiltIn,2003.0,1626,1,GasA,3,2Story,1,3,Lvl,1,2448,Inside,36.0,2,0,160,RL,106.0,Stone,10,NridgHt,27,2,3,2,CompShg,Gable,WD ,0,Pave,2,764.0,4,0,2003,2004,2008,train,2390.0,155000.0
50,768,756,0,2,TwnhsE,2,1,0.0,0.0,3,403.0,353.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,MetalSd,MetalSd,0,0,PConc,2,5,440.0,2.0,2,1,2,Detchd,2000.0,1524,1,GasA,3,2Story,1,3,Lvl,1,2998,Inside,68.36301950805768,2,0,160,FV,513.0,BrkFace,6,Somerst,32,2,2,2,CompShg,Gable,WD ,0,Pave,2,756.0,4,0,2000,2000,2006,train,2280.0,166000.0
51,1328,653,0,4,1Fam,2,1,1.0,0.0,2,500.0,622.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,WdShing,Plywood,2,2,BrkTil,2,3,576.0,2.0,2,1,2,Detchd,1981.0,1981,0,GasA,2,1.5Fin,1,3,Lvl,1,7804,Inside,65.0,2,0,50,RL,0.0,None,12,SWISU,44,1,2,2,CompShg,Gable,WD ,0,Pave,3,1122.0,4,431,1928,1950,2009,train,3103.0,135000.0
53,546,546,0,3,Twnhs,2,1,0.0,0.0,2,370.0,176.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,CemntBd,CmentBd,0,0,CBlock,1,5,0.0,0.0,0,0,0,none,,1092,1,GasA,3,2Story,1,2,Lvl,1,1476,Inside,21.0,2,0,160,RM,0.0,None,3,MeadowV,26,3,2,2,CompShg,Gable,WD ,0,Pave,2,546.0,4,200,1970,1970,2010,train,1638.0,76000.0
54,1575,0,0,2,1Fam,2,1,0.0,0.0,2,216.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,3,1,CBlock,1,5,400.0,2.0,2,1,2,Attchd,1951.0,1575,1,GasA,2,1Story,1,3,Lvl,1,10170,Corner,75.0,2,0,20,RL,522.0,BrkFace,6,NAmes,0,2,2,2,CompShg,Hip,WD ,0,Pave,2,216.0,4,0,1951,1951,2006,train,1791.0,155000.0
55,663,689,0,4,1Fam,2,1,0.0,0.0,2,292.0,371.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,299.0,1.0,2,2,2,Attchd,1969.0,1352,1,GasA,2,2Story,1,2,Lvl,1,9364,Corner,80.0,2,0,60,RL,143.0,Stone,3,Sawyer,36,3,2,2,CompShg,Gable,WD ,0,Pave,3,663.0,4,379,1969,1969,2010,train,2015.0,158000.0
56,600,600,0,2,Twnhs,2,1,1.0,0.0,3,190.0,368.0,42.0,3,3,Y,Norm,Norm,SBrkr,0,2,3,MetalSd,MetalSd,0,0,PConc,2,5,480.0,2.0,2,1,2,Detchd,2004.0,1200,1,GasA,3,2Story,1,3,Lvl,1,2544,Inside,24.0,2,0,160,FV,0.0,None,2,Somerst,172,2,3,2,CompShg,Gable,WD ,0,Pave,2,600.0,4,0,2004,2005,2010,train,1800.0,149500.0
